yr,mon,d,forks
2021,3,22,11
2021,3,23,13
2021,3,24,11
2021,3,25,8
2021,3,26,7
2021,3,27,7
2021,3,28,9
2021,3,29,16
2021,3,30,7
2021,3,31,12
2021,4,1,9
2021,4,2,7
2021,4,3,4
2021,4,4,8
2021,4,5,12
2021,4,6,12
2021,4,7,12
2021,4,8,10
2021,4,9,12
2021,4,10,6
2021,4,11,12
2021,4,12,12
2021,4,13,15
2021,4,14,8
2021,4,15,14
2021,4,16,13
2021,4,17,8
2021,4,18,8
2021,4,19,14
2021,4,20,16
2021,4,21,14
2021,4,22,12
2021,4,23,12
2021,4,24,4
2021,4,25,8
2021,4,26,10
2021,4,27,11
2021,4,28,6
2021,4,29,9
2021,4,30,3
2021,5,1,7
2021,5,2,4
2021,5,3,3
2021,5,4,4
2021,5,5,9
2021,5,6,4
2021,5,7,2
2021,5,9,1
2021,5,12,10
2021,5,13,9
2021,5,14,7
2021,5,15,3
2021,5,16,7
2021,5,17,8
2021,5,18,13
2021,5,19,15
2021,5,20,12
2021,5,21,10
2021,5,22,6
2021,5,23,7
2021,5,24,8
2021,5,25,12
2021,5,26,12
2021,5,27,10
2021,5,28,12
2021,5,29,6
2021,5,30,2
2021,5,31,10
2021,6,1,12
2021,6,2,3
2021,6,3,10
2021,6,4,9
2021,6,5,8
2021,6,6,7
2021,6,7,14
2021,6,8,5
2021,6,9,10
2021,6,10,11
2021,6,11,4
2021,6,12,11
2021,6,13,2
2021,6,14,14
2021,6,15,12
2021,6,16,9
2021,6,17,9
2021,6,18,7
2021,6,19,6
2021,6,20,2
2021,6,21,15
2021,6,22,14
2021,6,23,12
2021,6,24,12
2021,6,25,6
2021,6,26,7
2021,6,27,5
2021,6,28,14
2021,6,29,11
2021,6,30,9
2021,7,1,6
2021,7,2,6
2021,7,3,6
2021,7,4,3
2021,7,5,6
2021,7,6,8
2021,7,7,7
2021,7,8,12
2021,7,9,7
2021,7,10,6
2021,7,11,6
2021,7,12,10
2021,7,13,7
2021,7,14,14
2021,7,15,5
2021,7,16,9
2021,7,17,7
2021,7,18,8
2021,7,19,14
2021,7,20,10
2021,7,21,10
2021,7,22,13
2021,7,23,10
2021,7,24,3
2021,7,25,6
2021,7,26,10
2021,7,27,7
2021,7,28,16
2021,7,29,11
2021,7,30,7
2021,7,31,3
2021,8,1,4
2021,8,2,5
2021,8,3,3
2021,8,4,10
2021,8,5,9
2021,8,6,12
2021,8,7,4
2021,8,8,9
2021,8,9,10
2021,8,10,12
2021,8,11,10
2021,8,12,10
2021,8,13,5
2021,8,14,7
2021,8,15,9
2021,8,16,6
2021,8,17,13
2021,8,18,11
2021,8,19,6
2021,8,20,7
2021,8,21,8
2021,8,22,7
2021,8,23,7
2021,8,24,11
2021,8,28,2
2021,8,29,8
2021,8,30,12
2021,8,31,11
2021,9,1,11
2021,9,2,3
2021,9,3,11
2021,9,4,4
2021,9,5,5
2021,9,6,4
2021,9,7,13
2021,9,8,8
2021,9,9,13
2021,9,10,11
2021,9,11,3
2021,9,12,2
2021,9,13,6
2021,9,14,8
2021,9,15,5
2021,9,16,7
2021,9,17,8
2021,9,18,7
2021,9,19,10
2021,9,20,5
2021,9,21,2
2021,9,22,12
2021,9,23,11
2021,9,24,8
2021,9,25,6
2021,9,26,10
2021,9,27,5
2021,9,28,10
2021,9,29,8
2021,9,30,3
2021,10,1,8
2021,10,2,4
2021,10,3,2
2021,10,4,4
2021,10,5,5
2021,10,8,2
2021,10,9,4
2021,10,10,2
2021,10,11,1
2021,10,12,2
2021,10,13,5
2021,10,14,2
2021,10,15,2
2021,10,16,3
2021,10,17,1
2021,10,18,1
2021,10,19,1
2021,10,20,6
2021,10,21,4
2021,10,24,1
2021,10,29,1
2021,10,30,3
2021,10,31,1
2021,11,1,2
2021,11,2,5
2021,11,3,14
2021,11,4,7
2021,11,5,9
2021,11,6,5
2021,11,7,4
2021,11,8,3
2021,11,9,6
2021,11,10,3
2021,11,11,10
2021,11,12,6
2021,11,13,6
2021,11,14,5
2021,11,15,9
2021,11,16,11
2021,11,17,12
2021,11,18,6
2021,11,19,7
2021,11,20,6
2021,11,21,9
2021,11,22,7
2021,11,23,11
2021,11,24,4
2021,11,25,10
2021,11,26,4
2021,11,27,4
2021,11,28,3
2021,11,29,11
2021,11,30,14
2021,12,1,8
2021,12,2,7
2021,12,3,10
2021,12,4,2
2021,12,5,3
2021,12,6,13
2021,12,7,7
2021,12,8,9
2021,12,9,8
2021,12,10,13
2021,12,11,7
2021,12,12,7
2021,12,13,12
2021,12,14,12
2021,12,15,11
2021,12,16,12
2021,12,17,10
2021,12,18,6
2021,12,19,8
2021,12,20,20
2021,12,21,13
2021,12,22,11
2021,12,23,6
2021,12,24,9
2021,12,25,4
2021,12,26,2
2021,12,27,6
2021,12,28,9
2021,12,29,10
2021,12,30,6
2021,12,31,4
2022,1,1,4
2022,1,2,2
2022,1,3,9
2022,1,4,8
2022,1,5,9
2022,1,6,5
2022,1,7,9
2022,1,8,2
2022,1,9,3
2022,1,10,8
2022,1,11,6
2022,1,12,5
2022,1,13,12
2022,1,14,10
2022,1,15,6
2022,1,16,6
2022,1,17,7
2022,1,18,10
2022,1,19,11
2022,1,20,8
2022,1,21,16
2022,1,22,5
2022,1,23,2
2022,1,24,7
2022,1,25,10
2022,1,26,5
2022,1,27,6
2022,1,28,6
2022,1,29,5
2022,1,30,5
2022,1,31,8
2022,2,1,7
2022,2,2,3
2022,2,3,5
2022,2,4,7
2022,2,5,1
2022,2,6,1
2022,2,7,6
2022,2,8,8
2022,2,9,3
2022,2,10,11
2022,2,11,1
2022,2,12,5
2022,2,13,6
2022,2,14,5
2022,2,15,4
2022,2,16,8
2022,2,17,12
2022,2,18,5
2022,2,19,2
2022,2,20,3
2022,2,21,9
2022,2,22,6
2022,2,23,12
2022,2,24,11
2022,2,25,6
2022,2,26,3
2022,2,27,4
2022,2,28,8
2022,3,1,9
2022,3,2,5
2022,3,3,2
2022,3,4,7
2022,3,5,3
2022,3,6,6
2022,3,7,10
2022,3,8,7
2022,3,9,8
2022,3,10,12
2022,3,11,9
2022,3,12,3
2022,3,13,5
2022,3,14,10
2022,3,15,10
2022,3,16,6
2022,3,17,8
2022,3,18,6
2022,3,19,4
2022,3,20,7
2022,3,21,3
2022,3,22,13
2022,3,23,7
2022,3,24,9
2022,3,25,7
2022,3,26,8
2022,3,27,4
2022,3,28,10
2022,3,29,9
2022,3,30,11
2022,3,31,7
2022,4,1,4
2022,4,2,3
2022,4,3,7
2022,4,4,5
2022,4,5,3
2022,4,6,11
2022,4,7,6
2022,4,8,10
2022,4,9,1
2022,4,10,4
2022,4,11,11
2022,4,12,11
2022,4,13,10
2022,4,14,7
2022,4,15,7
2022,4,16,2
2022,4,17,8
2022,4,18,9
2022,4,19,6
2022,4,20,10
2022,4,21,12
2022,4,22,8
2022,4,23,1
2022,4,24,2
2022,4,25,8
2022,4,26,6
2022,4,27,7
2022,4,28,7
2022,4,29,8
2022,4,30,2
2022,5,1,3
2022,5,2,5
2022,5,3,5
2022,5,4,3
2022,5,5,8
2022,5,6,4
2022,5,7,4
2022,5,8,7
2022,5,9,4
2022,5,10,9
2022,5,11,5
2022,5,12,11
2022,5,13,7
2022,5,14,6
2022,5,15,5
2022,5,16,8
2022,5,17,9
2022,5,18,8
2022,5,19,9
2022,5,20,16
2022,5,21,4
2022,5,22,5
2022,5,23,10
2022,5,24,6
2022,5,25,10
2022,5,26,7
2022,5,27,8
2022,5,28,5
2022,5,29,8
2022,5,30,3
2022,5,31,8
2022,6,1,5
2022,6,2,5
2022,6,3,5
2022,6,4,2
2022,6,5,8
2022,6,6,6
2022,6,7,7
2022,6,8,9
2022,6,9,9
2022,6,10,11
2022,6,11,1
2022,6,12,4
2022,6,13,6
2022,6,14,4
2022,6,15,4
2022,6,16,7
2022,6,17,5
2022,6,18,7
2022,6,19,2
2022,6,20,4
2022,6,21,7
2022,6,22,4
2022,6,23,6
2022,6,24,5
2022,6,25,5
2022,6,26,1
2022,6,27,8
2022,6,28,6
2022,6,29,6
2022,6,30,8
2022,7,1,9
2022,7,2,2
2022,7,3,1
2022,7,4,11
2022,7,5,4
2022,7,6,6
2022,7,7,5
2022,7,8,3
2022,7,9,6
2022,7,10,5
2022,7,11,10
2022,7,12,5
2022,7,13,6
2022,7,14,2
2022,7,15,4
2022,7,16,5
2022,7,17,2
2022,7,18,10
2022,7,19,2
2022,7,20,7
2022,7,21,9
2022,7,22,6
2022,7,23,5
2022,7,24,3
2022,7,25,8
2022,7,26,11
2022,7,27,10
2022,7,28,6
2022,7,29,9
2022,7,30,6
2022,7,31,6
2022,8,1,6
2022,8,2,10
2022,8,3,7
2022,8,4,2
2022,8,5,10
2022,8,6,5
2022,8,7,7
2022,8,8,9
2022,8,9,12
2022,8,10,10
2022,8,11,7
2022,8,12,3
2022,8,13,3
2022,8,14,7
2022,8,15,6
2022,8,16,7
2022,8,17,5
2022,8,18,11
2022,8,19,5
2022,8,20,2
2022,8,21,5
2022,8,22,6
2022,8,23,7
2022,8,24,5
2022,8,25,10
2022,8,26,3
2022,8,27,3
2022,8,28,5
2022,8,29,5
2022,8,30,8
2022,8,31,8
2022,9,1,9
2022,9,2,8
2022,9,3,4
2022,9,4,4
2022,9,5,6
2022,9,6,4
2022,9,7,6
2022,9,8,9
2022,9,9,12
2022,9,10,1
2022,9,11,5
2022,9,12,4
2022,9,13,9
2022,9,14,5
2022,9,15,4
2022,9,16,6
2022,9,17,3
2022,9,18,6
2022,9,19,5
2022,9,20,3
2022,9,21,8
2022,9,22,9
2022,9,23,7
2022,9,24,2
2022,9,25,3
2022,9,26,5
2022,9,27,7
2022,9,28,3
2022,9,29,6
2022,9,30,10
2022,10,1,4
2022,10,2,2
2022,10,3,1
2022,10,4,5
2022,10,5,4
2022,10,6,3
2022,10,7,1
2022,10,8,5
2022,10,9,5
2022,10,10,8
2022,10,11,6
2022,10,12,5
2022,10,13,5
2022,10,14,5
2022,10,16,2
2022,10,17,8
2022,10,18,5
2022,10,19,8
2022,10,20,2
2022,10,21,9
2022,10,22,1
2022,10,23,3
2022,10,24,10
2022,10,25,6
2022,10,26,3
2022,10,27,6
2022,10,28,9
2022,10,29,4
2022,10,30,2
2022,10,31,5
2022,11,1,6
2022,11,2,7
2022,11,3,6
2022,11,4,5
2022,11,5,3
2022,11,6,6
2022,11,7,9
2022,11,8,4
2022,11,9,5
2022,11,10,11
2022,11,11,5
2022,11,12,4
2022,11,13,4
2022,11,14,5
