yr,mon,d,stars
2022,8,10,5
2022,8,11,5
2022,8,12,7
2022,8,13,2
2022,8,14,4
2022,8,15,6
2022,8,16,2
2022,8,17,9
2022,8,18,2
2022,8,19,3
2022,8,20,1
2022,8,21,2
2022,8,23,4
2022,8,24,4
2022,8,25,8
2022,8,26,2
2022,8,27,3
2022,8,28,2
2022,8,29,3
2022,8,30,4
2022,8,31,7
2022,9,1,3
2022,9,2,3
2022,9,3,2
2022,9,4,5
2022,9,5,5
2022,9,6,10
2022,9,7,6
2022,9,8,5
2022,9,9,8
2022,9,10,12
2022,9,11,4
2022,9,12,6
2022,9,13,10
2022,9,14,6
2022,9,15,4
2022,9,16,10
2022,9,17,4
2022,9,18,4
2022,9,19,4
2022,9,20,5
2022,9,21,6
2022,9,22,8
2022,9,23,9
2022,9,24,4
2022,9,25,1
2022,9,26,9
2022,9,27,11
2022,9,28,10
2022,9,29,4
2022,9,30,1
2022,10,1,3
2022,10,2,1
2022,10,3,1
2022,10,4,2
2022,10,5,7
2022,10,6,3
2022,10,7,8
2022,10,8,6
2022,10,9,6
2022,10,10,4
2022,10,11,7
2022,10,12,6
2022,10,13,3
2022,10,14,11
2022,10,15,6
2022,10,16,3
2022,10,17,7
2022,10,18,8
2022,10,19,7
2022,10,20,6
2022,10,21,6
2022,10,22,6
2022,10,23,3
2022,10,24,3
2022,10,25,10
2022,10,26,7
2022,10,27,4
2022,10,28,4
2022,10,29,2
2022,10,30,2
2022,10,31,4
2022,11,1,5
2022,11,2,2
2022,11,3,6
2022,11,4,6
2022,11,5,5
2022,11,6,1
2022,11,7,3
2022,11,8,4
2022,11,9,2
2022,11,10,3
2022,11,11,1
2022,11,12,4
2022,11,14,8
2022,11,15,9
2022,11,16,8
2022,11,17,11
2022,11,18,8
2022,11,19,3
2022,11,20,3
2022,11,21,7
2022,11,22,6
2022,11,23,3
2022,11,24,5
2022,11,25,2
2022,11,26,5
2022,11,27,2
2022,11,28,4
2022,11,29,5
2022,11,30,5
2022,12,1,4
2022,12,2,11
2022,12,3,6
2022,12,4,4
2022,12,5,4
2022,12,6,5
2022,12,7,4
2022,12,8,3
2022,12,9,2
2022,12,10,10
2022,12,11,2
2022,12,12,1
2022,12,13,11
2022,12,14,7
2022,12,15,6
2022,12,16,3
2022,12,17,4
2022,12,18,1
2022,12,19,3
2022,12,20,1
2022,12,21,4
2022,12,22,3
2022,12,23,11
2022,12,24,4
2022,12,25,2
2022,12,26,4
2022,12,27,6
2022,12,28,8
2022,12,29,6
2022,12,30,3
2022,12,31,2
2023,1,1,4
2023,1,2,4
2023,1,3,3
2023,1,4,5
2023,1,5,4
2023,1,7,2
2023,1,8,1
2023,1,9,3
2023,1,10,2
2023,1,11,8
2023,1,12,5
2023,1,13,9
2023,1,14,2
2023,1,15,3
2023,1,16,6
2023,1,17,4
2023,1,18,6
2023,1,19,7
2023,1,20,2
2023,1,21,1
2023,1,22,2
2023,1,23,6
2023,1,24,7
2023,1,25,6
2023,1,26,6
2023,1,27,8
2023,1,28,5
2023,1,29,6
2023,1,30,3
2023,1,31,5
2023,2,1,8
2023,2,2,5
2023,2,3,3
2023,2,4,4
2023,2,5,5
2023,2,6,5
2023,2,7,5
2023,2,8,4
2023,2,9,5
2023,2,10,4
2023,2,11,5
2023,2,12,1
2023,2,13,8
2023,2,14,9
2023,2,15,9
2023,2,16,10
2023,2,17,8
2023,2,18,3
2023,2,19,7
2023,2,20,5
2023,2,21,10
2023,2,22,3
2023,2,23,4
2023,2,24,6
2023,2,25,3
2023,2,26,4
2023,2,27,4
2023,2,28,7
2023,3,1,9
2023,3,2,9
2023,3,3,3
2023,3,4,9
2023,3,5,3
2023,3,6,7
2023,3,7,7
2023,3,8,5
2023,3,9,6
2023,3,10,3
2023,3,11,2
2023,3,12,2
2023,3,13,6
2023,3,14,3
2023,3,15,5
2023,3,16,11
2023,3,17,3
2023,3,18,6
2023,3,19,6
2023,3,20,6
2023,3,21,5
2023,3,22,7
2023,3,23,2
2023,3,24,6
2023,3,25,1
2023,3,26,1
2023,3,27,4
2023,3,28,5
2023,3,29,8
2023,3,30,2
2023,3,31,4
2023,4,1,4
2023,4,2,3
2023,4,3,7
2023,4,4,6
2023,4,5,8
2023,4,6,5
2023,4,7,8
2023,4,8,7
2023,4,9,2
2023,4,10,8
2023,4,11,2
2023,4,12,4
2023,4,13,7
2023,4,14,6
2023,4,15,4
2023,4,17,7
2023,4,18,3
2023,4,19,3
2023,4,20,9
2023,4,21,5
2023,4,22,6
2023,4,23,7
2023,4,24,7
2023,4,25,5
2023,4,26,4
2023,4,27,7
2023,4,28,6
2023,4,29,3
2023,4,30,6
2023,5,1,4
2023,5,2,3
2023,5,3,3
2023,5,4,8
2023,5,5,5
2023,5,6,6
2023,5,7,8
2023,5,8,4
2023,5,9,14
2023,5,10,10
2023,5,11,17
2023,5,12,4
2023,5,13,4
2023,5,14,4
2023,5,15,22
2023,5,16,10
2023,5,17,10
2023,5,18,1
2023,5,19,8
2023,5,20,3
2023,5,21,2
2023,5,22,7
2023,5,23,4
2023,5,24,7
2023,5,25,7
2023,5,26,2
2023,5,27,2
2023,5,28,3
2023,5,29,8
2023,5,30,6
2023,5,31,7
2023,6,1,3
2023,6,2,2
2023,6,3,2
2023,6,4,3
2023,6,5,3
2023,6,6,5
2023,6,7,7
2023,6,8,7
2023,6,9,3
2023,6,10,3
2023,6,11,3
2023,6,12,4
2023,6,13,11
2023,6,14,10
2023,6,15,7
2023,6,16,10
2023,6,17,1
2023,6,18,3
2023,6,19,5
2023,6,20,10
2023,6,21,5
2023,6,22,3
2023,6,23,7
2023,6,24,2
2023,6,25,2
2023,6,26,3
2023,6,27,6
2023,6,28,8
2023,6,29,6
2023,6,30,5
2023,7,1,5
2023,7,2,3
2023,7,3,6
2023,7,4,3
2023,7,5,3
2023,7,6,6
2023,7,7,4
2023,7,8,2
2023,7,9,4
2023,7,10,10
2023,7,11,4
2023,7,12,4
2023,7,13,7
2023,7,14,5
2023,7,15,3
2023,7,16,2
2023,7,17,6
2023,7,18,8
2023,7,19,8
2023,7,20,1
2023,7,21,4
2023,7,22,4
2023,7,23,2
2023,7,24,11
2023,7,25,3
2023,7,26,10
2023,7,27,5
2023,7,28,7
2023,7,29,6
2023,7,30,1
2023,7,31,8
2023,8,1,5
2023,8,2,3
2023,8,3,8
2023,8,4,4
2023,8,5,3
2023,8,6,3
2023,8,7,4
2023,8,8,6
2023,8,9,4
2023,8,10,5
2023,8,11,10
2023,8,12,6
2023,8,13,6
2023,8,14,7
2023,8,15,6
2023,8,16,5
2023,8,17,5
2023,8,18,4
2023,8,19,1
2023,8,20,4
2023,8,21,2
2023,8,22,8
2023,8,23,7
2023,8,24,7
2023,8,25,6
2023,8,26,2
2023,8,27,3
2023,8,28,8
2023,8,29,6
2023,8,30,6
2023,8,31,8
2023,9,1,5
2023,9,2,4
2023,9,3,3
2023,9,4,5
2023,9,5,5
2023,9,6,5
2023,9,7,7
2023,9,8,8
2023,9,9,4
2023,9,10,5
2023,9,11,9
2023,9,12,8
2023,9,13,4
2023,9,14,4
2023,9,15,5
2023,9,17,1
2023,9,18,4
2023,9,19,5
2023,9,20,11
2023,9,21,7
2023,9,22,11
2023,9,23,4
2023,9,24,3
2023,9,25,10
2023,9,26,7
2023,9,27,10
2023,9,28,10
2023,9,29,9
2023,9,30,5
2023,10,1,5
2023,10,2,9
2023,10,3,7
2023,10,4,5
2023,10,5,8
2023,10,6,5
2023,10,7,6
2023,10,8,1
2023,10,9,5
2023,10,10,4
2023,10,11,1
2023,10,12,6
2023,10,13,7
2023,10,14,1
2023,10,15,6
2023,10,16,4
2023,10,17,4
2023,10,18,6
2023,10,19,4
2023,10,20,9
2023,10,21,7
2023,10,22,5
2023,10,23,4
2023,10,24,4
2023,10,25,2
2023,10,26,5
2023,10,27,8
2023,10,28,3
2023,10,29,2
2023,10,30,5
2023,10,31,8
2023,11,1,8
2023,11,2,6
2023,11,3,4
2023,11,4,6
2023,11,5,3
2023,11,6,7
2023,11,7,4
2023,11,8,6
2023,11,9,6
2023,11,10,9
2023,11,11,6
2023,11,12,5
2023,11,13,3
2023,11,14,2
2023,11,15,6
2023,11,16,5
2023,11,17,8
2023,11,18,2
2023,11,19,7
2023,11,20,4
2023,11,21,5
2023,11,22,11
2023,11,23,7
2023,11,24,4
2023,11,25,2
2023,11,26,4
2023,11,27,2
2023,11,28,6
2023,11,29,6
2023,11,30,5
2023,12,1,2
2023,12,2,5
2023,12,3,2
2023,12,5,5
2023,12,6,7
2023,12,7,2
2023,12,8,2
2023,12,9,2
2023,12,10,7
2023,12,11,6
2023,12,12,3
2023,12,13,4
2023,12,14,8
2023,12,15,4
2023,12,16,5
2023,12,17,3
2023,12,18,3
2023,12,19,4
2023,12,20,4
2023,12,21,3
2023,12,22,4
2023,12,23,3
2023,12,24,3
2023,12,25,4
2023,12,26,3
2023,12,27,3
2023,12,28,3
2023,12,29,4
2023,12,30,4
2023,12,31,1
2024,1,1,4
2024,1,2,3
2024,1,3,4
2024,1,4,5
2024,1,5,10
2024,1,6,2
2024,1,7,5
2024,1,8,3
2024,1,9,7
2024,1,10,3
2024,1,11,12
2024,1,12,7
2024,1,13,3
2024,1,14,1
2024,1,15,2
2024,1,16,4
2024,1,17,6
2024,1,18,5
2024,1,19,2
2024,1,21,3
2024,1,22,6
2024,1,23,3
2024,1,24,5
2024,1,25,9
2024,1,26,7
2024,1,27,6
2024,1,28,3
2024,1,29,8
2024,1,30,5
2024,1,31,10
2024,2,1,6
2024,2,2,7
2024,2,3,8
2024,2,4,4
2024,2,5,8
2024,2,6,6
2024,2,7,7
2024,2,8,6
2024,2,9,4
2024,2,10,4
2024,2,11,3
2024,2,12,3
2024,2,13,7
2024,2,14,6
2024,2,15,5
2024,2,16,6
2024,2,17,3
2024,2,18,5
2024,2,19,8
2024,2,20,11
2024,2,21,3
2024,2,22,5
2024,2,23,10
2024,2,24,2
2024,2,25,4
2024,2,26,6
2024,2,27,8
2024,2,28,6
2024,2,29,6
2024,3,1,8
2024,3,2,4
2024,3,3,4
2024,3,4,1
2024,3,5,2
2024,3,6,5
2024,3,7,3
2024,3,8,6
2024,3,9,5
2024,3,10,6
2024,3,11,4
2024,3,12,2
2024,3,13,4
2024,3,14,3
2024,3,15,8
2024,3,16,5
2024,3,17,2
2024,3,18,3
2024,3,19,6
2024,3,20,6
2024,3,21,5
2024,3,22,15
2024,3,23,9
2024,3,24,5
2024,3,25,8
2024,3,26,3
2024,3,27,13
2024,3,28,13
2024,3,29,5
2024,3,30,4
2024,3,31,2
2024,4,1,17
2024,4,2,13
2024,4,3,13
2024,4,4,10
2024,4,5,15
2024,4,6,8
2024,4,7,6
2024,4,8,1
2024,4,9,12
2024,4,10,6
2024,4,11,10
2024,4,12,8
2024,4,13,1
2024,4,14,1
2024,4,15,7
2024,4,16,2
2024,4,17,11
2024,4,18,5
2024,4,19,4
2024,4,20,3
2024,4,21,3
2024,4,22,5
2024,4,23,5
2024,4,24,6
2024,4,25,7
2024,4,26,7
2024,4,27,10
2024,4,28,6
2024,4,29,9
2024,4,30,5
2024,5,1,6
2024,5,2,9
2024,5,3,5
2024,5,4,3
2024,5,5,4
2024,5,6,2
2024,5,7,8
2024,5,8,6
2024,5,9,5
2024,5,10,9
2024,5,11,5
2024,5,12,2
2024,5,13,3
2024,5,14,2
2024,5,15,18
2024,5,16,9
2024,5,17,7
2024,5,18,5
2024,5,19,4
2024,5,20,4
2024,5,21,6
2024,5,22,4
2024,5,23,4
2024,5,24,3
2024,5,25,4
2024,5,26,1
2024,5,27,5
2024,5,28,4
2024,5,29,7
2024,5,30,12
2024,5,31,5
2024,6,1,3
2024,6,2,6
2024,6,3,3
2024,6,4,5
2024,6,5,5
2024,6,6,2
2024,6,7,6
2024,6,8,3
2024,6,9,4
2024,6,10,3
2024,6,11,3
2024,6,12,6
2024,6,13,11
2024,6,14,5
2024,6,15,1
2024,6,16,3
2024,6,17,3
2024,6,18,8
2024,6,19,9
2024,6,20,4
2024,6,21,8
2024,6,22,3
2024,6,23,6
2024,6,24,7
2024,6,25,4
2024,6,26,5
2024,6,27,5
2024,6,28,4
2024,6,29,1
2024,6,30,2
2024,7,1,6
2024,7,2,3
2024,7,3,13
2024,7,4,5
2024,7,5,6
2024,7,6,4
2024,7,7,5
2024,7,8,4
2024,7,9,5
2024,7,10,7
2024,7,11,9
2024,7,12,8
2024,7,13,6
2024,7,14,4
2024,7,15,8
2024,7,16,8
2024,7,17,10
2024,7,18,7
2024,7,19,13
2024,7,20,5
2024,7,21,2
2024,7,22,3
2024,7,23,4
2024,7,24,11
2024,7,25,7
2024,7,26,5
2024,7,27,5
2024,7,28,4
2024,7,29,2
2024,7,30,2
2024,7,31,6
2024,8,1,7
2024,8,2,7
2024,8,3,2
2024,8,4,2
2024,8,5,3
2024,8,6,6
2024,8,7,6
2024,8,8,9
2024,8,9,7
2024,8,10,3
2024,8,11,1
2024,8,12,7
2024,8,13,5
2024,8,14,4
2024,8,15,9
2024,8,16,5
2024,8,17,3
2024,8,18,1
2024,8,19,4
2024,8,20,5
2024,8,21,7
2024,8,22,10
2024,8,23,8
2024,8,24,3
2024,8,25,3
2024,8,26,8
2024,8,27,2
2024,8,28,6
2024,8,29,13
2024,8,30,29
2024,8,31,13
2024,9,1,6
2024,9,2,12
2024,9,3,7
2024,9,4,9
2024,9,5,11
2024,9,6,13
2024,9,7,4
2024,9,8,7
2024,9,9,6
2024,9,10,4
2024,9,11,9
2024,9,12,3
2024,9,13,9
2024,9,14,4
2024,9,15,2
2024,9,16,13
2024,9,17,15
2024,9,18,7
2024,9,19,6
2024,9,20,5
2024,9,21,15
2024,9,22,6
2024,9,23,9
2024,9,24,10
2024,9,25,12
2024,9,26,8
2024,9,27,6
2024,9,28,6
2024,9,29,4
2024,9,30,5
2024,10,1,6
2024,10,2,1
2024,10,3,3
2024,10,4,5
2024,10,5,6
2024,10,6,2
2024,10,7,2
2024,10,8,3
2024,10,9,7
2024,10,10,4
2024,10,11,6
2024,10,12,7
2024,10,13,3
2024,10,14,7
2024,10,15,3
2024,10,16,9
2024,10,17,3
2024,10,18,3
2024,10,19,3
2024,10,20,4
2024,10,21,4
2024,10,23,2
2024,10,24,4
2024,10,25,4
2024,10,26,5
2024,10,27,2
2024,10,28,4
2024,10,29,12
2024,10,30,4
2024,10,31,5
2024,11,1,3
2024,11,2,5
2024,11,3,3
2024,11,4,2
2024,11,5,6
2024,11,6,6
2024,11,7,5
2024,11,8,6
2024,11,9,4
2024,11,10,1
2024,11,11,5
2024,11,12,2
2024,11,13,7
2024,11,14,8
2024,11,15,6
2024,11,16,3
2024,11,17,2
2024,11,18,6
2024,11,19,6
2024,11,20,8
2024,11,21,5
2024,11,22,2
2024,11,23,5
2024,11,24,4
2024,11,25,3
2024,11,26,6
2024,11,27,6
2024,11,28,3
2024,11,29,4
2024,11,30,3
2024,12,1,2
2024,12,2,4
2024,12,3,5
2024,12,4,9
2024,12,5,6
2024,12,6,1
2024,12,7,3
2024,12,9,6
2024,12,10,7
2024,12,11,4
2024,12,12,7
2024,12,13,9
2024,12,14,4
2024,12,15,1
2024,12,16,5
2024,12,17,6
2024,12,18,7
2024,12,19,4
2024,12,20,5
2024,12,21,1
2024,12,22,2
2024,12,23,2
2024,12,24,4
2024,12,25,5
2024,12,26,2
2024,12,27,2
2024,12,28,3
2024,12,30,4
2024,12,31,2
2025,1,1,2
2025,1,2,8
2025,1,3,7
2025,1,4,3
2025,1,5,1
2025,1,6,3
2025,1,7,6
2025,1,8,10
2025,1,9,8
2025,1,10,6
2025,1,11,3
2025,1,12,2
2025,1,13,2
2025,1,14,4
2025,1,15,10
2025,1,16,8
2025,1,17,4
2025,1,18,4
2025,1,19,4
2025,1,20,5
2025,1,21,3
2025,1,22,6
2025,1,23,3
2025,1,24,5
2025,1,25,2
2025,1,26,2
2025,1,27,7
2025,1,28,3
2025,1,29,6
2025,1,30,1
2025,1,31,7
2025,2,2,5
2025,2,3,6
