yr,mon,d,forks
2022,12,9,3
2022,12,10,3
2022,12,11,3
2022,12,12,5
2022,12,13,5
2022,12,14,3
2022,12,15,4
2022,12,17,3
2022,12,18,1
2022,12,19,7
2022,12,21,3
2022,12,22,4
2022,12,23,3
2022,12,24,3
2022,12,25,3
2022,12,26,2
2022,12,27,8
2022,12,28,3
2022,12,29,9
2022,12,30,1
2022,12,31,7
2023,1,1,2
2023,1,2,1
2023,1,3,8
2023,1,4,8
2023,1,5,5
2023,1,6,7
2023,1,7,1
2023,1,8,5
2023,1,9,4
2023,1,11,6
2023,1,12,2
2023,1,13,5
2023,1,15,2
2023,1,16,5
2023,1,17,7
2023,1,18,4
2023,1,19,2
2023,1,20,2
2023,1,21,2
2023,1,23,1
2023,1,24,4
2023,1,25,4
2023,1,26,3
2023,1,27,2
2023,1,28,3
2023,1,29,2
2023,1,30,3
2023,1,31,6
2023,2,1,7
2023,2,2,5
2023,2,3,9
2023,2,4,3
2023,2,5,2
2023,2,6,9
2023,2,7,9
2023,2,8,6
2023,2,9,8
2023,2,10,9
2023,2,11,2
2023,2,12,1
2023,2,13,10
2023,2,14,6
2023,2,15,6
2023,2,16,7
2023,2,17,6
2023,2,18,4
2023,2,19,6
2023,2,20,5
2023,2,21,10
2023,2,22,8
2023,2,23,4
2023,2,24,7
2023,2,25,5
2023,2,26,4
2023,2,27,2
2023,2,28,6
2023,3,1,4
2023,3,2,2
2023,3,3,7
2023,3,4,4
2023,3,5,2
2023,3,6,5
2023,3,7,5
2023,3,8,13
2023,3,9,6
2023,3,10,6
2023,3,11,6
2023,3,12,4
2023,3,13,10
2023,3,14,3
2023,3,15,2
2023,3,16,6
2023,3,17,5
2023,3,18,3
2023,3,19,10
2023,3,20,1
2023,3,21,7
2023,3,22,7
2023,3,23,7
2023,3,24,5
2023,3,25,3
2023,3,26,3
2023,3,27,5
2023,3,28,4
2023,3,29,4
2023,3,30,5
2023,3,31,3
2023,4,1,2
2023,4,2,3
2023,4,3,9
2023,4,4,1
2023,4,5,5
2023,4,6,5
2023,4,7,6
2023,4,8,6
