yr,mon,d,forks
2021,8,21,2
2021,8,22,1
2021,8,23,6
2021,8,24,4
2021,8,28,1
2021,8,29,2
2021,8,30,3
2021,8,31,6
2021,9,1,3
2021,9,2,6
2021,9,3,6
2021,9,4,1
2021,9,5,3
2021,9,6,4
2021,9,7,3
2021,9,8,5
2021,9,9,2
2021,9,11,5
2021,9,13,5
2021,9,14,6
2021,9,15,5
2021,9,16,6
2021,9,17,2
2021,9,18,3
2021,9,19,2
2021,9,20,3
2021,9,21,4
2021,9,22,4
2021,9,23,6
2021,9,24,2
2021,9,25,1
2021,9,26,2
2021,9,27,5
2021,9,28,2
2021,9,29,2
2021,9,30,9
2021,10,1,3
2021,10,2,3
2021,10,4,3
2021,10,5,2
2021,10,8,1
2021,10,9,3
2021,10,10,1
2021,10,11,2
2021,10,12,1
2021,10,13,1
2021,10,15,2
2021,10,16,1
2021,10,20,2
2021,10,21,2
2021,10,29,2
2021,10,30,3
2021,11,1,1
2021,11,2,2
2021,11,3,4
2021,11,4,6
2021,11,5,7
2021,11,6,1
2021,11,8,3
2021,11,9,2
2021,11,10,3
2021,11,11,2
2021,11,12,1
2021,11,13,1
2021,11,14,3
2021,11,15,4
2021,11,16,6
2021,11,17,8
2021,11,18,4
2021,11,19,8
2021,11,20,5
2021,11,21,4
2021,11,22,1
2021,11,23,8
2021,11,24,10
2021,11,25,6
2021,11,26,2
2021,11,27,1
2021,11,28,2
2021,11,29,6
2021,11,30,5
2021,12,1,5
2021,12,2,1
2021,12,3,5
2021,12,4,4
2021,12,5,1
2021,12,6,3
2021,12,7,2
2021,12,8,4
2021,12,9,6
2021,12,10,2
2021,12,11,3
2021,12,12,2
2021,12,13,1
2021,12,14,3
2021,12,15,3
2021,12,16,2
2021,12,17,4
2021,12,18,4
2021,12,19,4
2021,12,20,5
2021,12,21,7
2021,12,22,6
2021,12,23,7
2021,12,24,4
2021,12,25,4
2021,12,27,3
2021,12,28,5
2021,12,29,3
2021,12,30,6
2021,12,31,2
2022,1,1,2
2022,1,2,1
2022,1,3,5
2022,1,4,4
2022,1,5,2
2022,1,6,2
2022,1,7,5
2022,1,8,5
2022,1,9,2
2022,1,10,4
2022,1,11,4
2022,1,12,7
2022,1,13,1
2022,1,14,6
2022,1,15,2
2022,1,16,1
2022,1,17,3
2022,1,18,3
2022,1,19,2
2022,1,20,5
2022,1,21,7
2022,1,22,3
2022,1,23,4
2022,1,24,10
2022,1,25,7
2022,1,26,6
2022,1,27,7
2022,1,28,2
2022,1,29,2
2022,1,31,3
2022,2,1,3
2022,2,2,6
2022,2,3,4
2022,2,4,2
2022,2,5,1
2022,2,6,2
2022,2,7,5
2022,2,8,7
2022,2,9,2
2022,2,10,3
2022,2,11,5
2022,2,12,3
2022,2,14,1
2022,2,15,2
2022,2,16,6
2022,2,17,4
2022,2,18,4
2022,2,19,1
2022,2,20,4
2022,2,21,7
2022,2,22,6
2022,2,23,7
2022,2,24,1
2022,2,25,4
2022,2,26,1
2022,2,27,2
2022,2,28,3
2022,3,1,1
2022,3,2,6
2022,3,3,5
2022,3,4,4
2022,3,5,5
2022,3,6,6
2022,3,7,2
2022,3,8,6
2022,3,9,7
2022,3,10,8
2022,3,11,6
2022,3,12,5
2022,3,13,2
2022,3,14,3
2022,3,15,2
2022,3,16,4
2022,3,17,6
2022,3,18,5
2022,3,19,4
2022,3,20,3
2022,3,21,2
2022,3,22,7
2022,3,23,7
2022,3,24,5
2022,3,25,5
2022,3,27,2
2022,3,28,7
2022,3,29,2
2022,3,30,2
2022,3,31,1
2022,4,1,1
2022,4,2,1
2022,4,3,1
2022,4,4,3
2022,4,5,4
2022,4,6,6
2022,4,7,2
2022,4,8,3
2022,4,9,2
2022,4,11,4
2022,4,12,4
2022,4,13,9
2022,4,14,4
2022,4,15,4
2022,4,16,1
2022,4,17,4
2022,4,18,3
2022,4,19,8
2022,4,20,2
2022,4,21,5
2022,4,22,4
2022,4,23,2
2022,4,24,4
2022,4,25,5
2022,4,26,6
2022,4,27,6
2022,4,28,11
2022,4,29,1
2022,4,30,4
2022,5,1,2
2022,5,2,5
2022,5,3,4
2022,5,4,1
2022,5,5,5
2022,5,6,7
2022,5,7,2
2022,5,8,2
2022,5,9,3
2022,5,10,3
2022,5,11,3
2022,5,12,1
2022,5,13,3
2022,5,14,2
2022,5,15,1
2022,5,16,2
2022,5,17,2
2022,5,18,3
2022,5,19,7
2022,5,20,5
2022,5,21,1
2022,5,22,2
2022,5,23,7
2022,5,24,5
2022,5,25,2
2022,5,27,1
2022,5,28,2
2022,5,29,1
2022,5,30,4
2022,5,31,2
2022,6,1,2
2022,6,2,5
2022,6,3,6
2022,6,5,3
2022,6,6,3
2022,6,7,4
2022,6,8,4
2022,6,9,3
2022,6,10,2
2022,6,11,4
2022,6,12,3
2022,6,13,3
2022,6,14,5
2022,6,15,3
2022,6,16,4
2022,6,17,4
2022,6,18,5
2022,6,19,1
2022,6,20,4
2022,6,21,1
2022,6,22,6
2022,6,23,3
2022,6,24,2
2022,6,25,3
2022,6,26,5
2022,6,27,3
2022,6,28,2
2022,6,29,4
2022,6,30,3
2022,7,1,5
2022,7,2,1
2022,7,3,1
2022,7,4,4
2022,7,5,2
2022,7,6,3
2022,7,7,1
2022,7,8,1
2022,7,9,2
2022,7,10,3
2022,7,11,3
2022,7,12,7
2022,7,13,2
2022,7,14,4
2022,7,15,3
2022,7,16,3
2022,7,17,3
2022,7,18,2
2022,7,19,9
2022,7,20,5
2022,7,21,1
2022,7,22,3
2022,7,23,1
2022,7,24,3
2022,7,25,8
2022,7,26,4
2022,7,27,3
2022,7,28,1
2022,7,29,7
2022,7,30,3
2022,7,31,3
2022,8,1,4
2022,8,2,3
2022,8,3,3
2022,8,4,4
2022,8,5,2
2022,8,6,3
2022,8,7,2
2022,8,8,5
2022,8,9,5
2022,8,10,3
2022,8,11,3
2022,8,12,7
2022,8,13,5
2022,8,14,5
2022,8,15,2
2022,8,16,10
2022,8,17,6
2022,8,18,1
2022,8,19,1
2022,8,20,3
2022,8,21,3
2022,8,22,3
2022,8,23,2
2022,8,24,3
2022,8,25,2
2022,8,26,3
2022,8,27,4
2022,8,28,2
2022,8,29,5
2022,8,30,1
2022,8,31,5
2022,9,1,4
2022,9,2,3
2022,9,3,4
2022,9,4,1
2022,9,5,2
2022,9,6,2
2022,9,7,8
2022,9,8,5
2022,9,9,4
