yr,mon,d,stars
2023,4,4,12
2023,4,5,14
2023,4,6,11
2023,4,7,14
2023,4,8,4
2023,4,9,14
2023,4,10,8
2023,4,11,9
2023,4,12,8
2023,4,13,9
2023,4,14,20
2023,4,15,3
2023,4,16,10
2023,4,17,14
2023,4,18,16
2023,4,19,20
2023,4,20,10
2023,4,21,19
2023,4,22,7
2023,4,23,17
2023,4,24,16
2023,4,25,9
2023,4,26,13
2023,4,27,11
2023,4,28,16
2023,4,29,6
2023,4,30,9
2023,5,1,9
2023,5,2,10
2023,5,3,10
2023,5,4,12
2023,5,5,17
2023,5,6,6
2023,5,7,8
2023,5,8,10
2023,5,9,4
2023,5,10,14
2023,5,11,11
2023,5,12,15
2023,5,13,14
2023,5,14,8
2023,5,15,12
2023,5,16,18
2023,5,17,18
2023,5,18,15
2023,5,19,22
2023,5,20,12
2023,5,21,13
2023,5,22,17
2023,5,23,16
2023,5,24,13
2023,5,25,17
2023,5,26,10
2023,5,27,11
2023,5,28,9
2023,5,29,18
2023,5,30,19
2023,5,31,13
2023,6,1,17
2023,6,2,23
2023,6,3,11
2023,6,4,15
2023,6,5,19
2023,6,6,11
2023,6,7,13
2023,6,8,17
2023,6,9,12
2023,6,10,5
2023,6,11,9
2023,6,12,27
2023,6,13,22
2023,6,14,18
2023,6,15,13
2023,6,16,22
2023,6,17,7
2023,6,18,8
2023,6,19,15
2023,6,20,20
2023,6,21,17
2023,6,22,12
2023,6,23,12
2023,6,24,12
2023,6,25,8
2023,6,26,9
2023,6,27,14
2023,6,28,11
2023,6,29,10
2023,6,30,13
2023,7,1,14
2023,7,2,17
2023,7,3,15
2023,7,4,16
2023,7,5,11
2023,7,6,16
2023,7,7,13
2023,7,8,13
2023,7,9,5
2023,7,10,15
2023,7,11,12
2023,7,12,16
2023,7,13,12
2023,7,14,14
2023,7,15,14
2023,7,16,14
2023,7,17,11
2023,7,18,12
2023,7,19,16
2023,7,20,15
2023,7,21,15
2023,7,22,10
2023,7,23,13
2023,7,24,17
2023,7,25,21
2023,7,26,9
2023,7,27,17
2023,7,28,19
2023,7,29,8
2023,7,30,6
2023,7,31,12
2023,8,1,9
2023,8,2,10
2023,8,3,14
2023,8,4,10
2023,8,5,9
2023,8,6,6
2023,8,7,9
2023,8,8,7
2023,8,9,16
2023,8,10,22
2023,8,11,23
2023,8,12,15
2023,8,13,14
2023,8,14,8
2023,8,15,13
2023,8,16,16
2023,8,17,21
2023,8,18,23
2023,8,19,11
2023,8,20,7
2023,8,21,8
2023,8,22,13
2023,8,23,16
2023,8,24,18
2023,8,25,10
2023,8,26,13
2023,8,27,15
2023,8,28,38
2023,8,29,31
2023,8,30,64
2023,8,31,69
2023,9,1,15
2023,9,2,11
2023,9,3,9
2023,9,4,11
2023,9,5,15
2023,9,6,12
2023,9,7,11
2023,9,8,12
2023,9,9,14
2023,9,10,16
2023,9,11,13
2023,9,12,17
2023,9,13,20
2023,9,14,13
2023,9,15,15
2023,9,16,4
2023,9,17,5
2023,9,18,10
2023,9,19,10
2023,9,20,13
2023,9,21,16
2023,9,22,23
2023,9,23,10
2023,9,24,8
2023,9,25,14
2023,9,26,14
2023,9,27,12
2023,9,28,10
2023,9,29,7
2023,9,30,11
2023,10,1,7
2023,10,2,11
2023,10,3,8
2023,10,4,11
2023,10,5,10
2023,10,6,15
2023,10,7,11
2023,10,8,8
2023,10,9,6
2023,10,10,17
2023,10,11,9
2023,10,12,7
2023,10,13,11
2023,10,14,5
2023,10,15,13
2023,10,16,10
2023,10,17,7
2023,10,18,16
2023,10,19,11
2023,10,20,17
2023,10,21,6
2023,10,22,8
2023,10,23,10
2023,10,24,10
2023,10,25,14
2023,10,26,9
2023,10,27,17
2023,10,28,9
2023,10,29,10
2023,10,30,16
2023,10,31,11
2023,11,1,14
2023,11,2,15
2023,11,3,10
2023,11,4,8
2023,11,5,8
2023,11,6,11
2023,11,7,12
2023,11,8,11
2023,11,9,14
2023,11,10,8
2023,11,11,7
2023,11,12,6
2023,11,13,8
2023,11,14,6
2023,11,15,9
2023,11,16,15
2023,11,17,227
2023,11,18,121
2023,11,19,11
2023,11,20,11
2023,11,21,13
2023,11,22,4
2023,11,23,10
2023,11,24,8
2023,11,25,10
2023,11,26,8
2023,11,27,8
2023,11,28,6
2023,11,29,6
2023,11,30,9
2023,12,1,14
2023,12,2,8
2023,12,3,3
2023,12,4,5
2023,12,5,13
2023,12,6,52
2023,12,7,63
2023,12,8,60
2023,12,9,43
2023,12,10,16
2023,12,11,8
2023,12,12,16
2023,12,13,17
2023,12,14,14
2023,12,15,14
2023,12,16,8
2023,12,17,11
2023,12,18,7
2023,12,19,11
2023,12,20,13
2023,12,21,11
2023,12,22,13
2023,12,23,1
2023,12,24,3
2023,12,25,7
2023,12,26,14
2023,12,27,7
2023,12,28,9
2023,12,29,10
2023,12,30,4
2023,12,31,7
2024,1,1,7
2024,1,2,10
2024,1,3,17
2024,1,4,10
2024,1,5,16
2024,1,6,4
2024,1,7,11
2024,1,8,14
2024,1,9,16
2024,1,10,20
2024,1,11,16
2024,1,12,15
2024,1,13,2
2024,1,14,10
2024,1,15,8
2024,1,16,17
2024,1,17,8
2024,1,18,13
2024,1,19,10
2024,1,20,9
2024,1,21,13
2024,1,22,9
2024,1,23,13
2024,1,24,19
2024,1,25,13
2024,1,26,12
2024,1,27,7
2024,1,28,11
2024,1,29,14
2024,1,30,15
2024,1,31,9
2024,2,1,10
2024,2,2,13
2024,2,3,10
2024,2,4,11
2024,2,5,13
2024,2,6,17
2024,2,7,16
2024,2,8,15
2024,2,9,4
2024,2,10,13
2024,2,11,4
2024,2,12,10
2024,2,13,17
2024,2,14,51
2024,2,15,113
2024,2,16,60
2024,2,17,15
2024,2,18,13
2024,2,19,14
2024,2,20,18
2024,2,21,16
2024,2,22,8
2024,2,23,16
2024,2,24,9
2024,2,25,6
2024,2,26,9
2024,2,27,14
2024,2,28,9
2024,2,29,16
2024,3,1,8
2024,3,2,9
2024,3,3,13
2024,3,4,7
2024,3,5,15
2024,3,6,11
2024,3,7,19
2024,3,8,22
2024,3,9,8
2024,3,10,5
2024,3,11,6
2024,3,12,12
2024,3,13,5
2024,3,14,8
2024,3,15,14
2024,3,16,8
2024,3,17,6
2024,3,18,8
2024,3,19,11
2024,3,20,10
2024,3,21,18
2024,3,22,15
2024,3,23,10
2024,3,24,7
2024,3,25,6
2024,3,26,15
2024,3,27,15
2024,3,28,13
2024,3,29,14
2024,3,30,8
2024,3,31,5
2024,4,1,12
2024,4,2,7
2024,4,3,9
2024,4,4,9
2024,4,5,17
2024,4,6,9
2024,4,7,6
2024,4,8,5
2024,4,9,11
2024,4,10,12
2024,4,11,11
2024,4,12,10
2024,4,13,7
2024,4,14,7
