yr,mon,d,stars
2025,1,28,34
2025,1,29,26
2025,1,30,20
2025,1,31,18
2025,2,1,8
2025,2,2,12
2025,2,3,21
2025,2,4,12
2025,2,5,20
2025,2,6,14
2025,2,7,18
2025,2,8,10
2025,2,9,14
2025,2,10,15
2025,2,11,7
2025,2,12,10
2025,2,13,15
2025,2,14,14
2025,2,15,5
2025,2,16,2
2025,2,17,10
2025,2,18,8
2025,2,19,6
2025,2,20,9
2025,2,21,6
2025,2,22,8
2025,2,23,8
2025,2,24,8
2025,2,25,12
2025,2,26,8
2025,2,27,23
2025,2,28,20
2025,3,1,17
2025,3,2,7
2025,3,3,31
2025,3,4,28
2025,3,5,17
2025,3,6,14
2025,3,7,10
2025,3,8,12
2025,3,9,8
2025,3,10,11
2025,3,11,9
2025,3,12,10
2025,3,13,13
2025,3,14,16
2025,3,15,3
2025,3,16,12
2025,3,17,11
2025,3,18,17
2025,3,19,14
2025,3,20,9
2025,3,21,7
2025,3,22,5
2025,3,23,5
2025,3,24,19
2025,3,25,16
2025,3,26,9
2025,3,27,13
2025,3,28,10
2025,3,29,7
2025,3,30,8
2025,3,31,12
2025,4,1,11
2025,4,2,19
